VisualizationID	SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge	SMILES
None	/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	10319	10319	10319	GNPWSZMDKPTDLE	62.015	9.2e-28	1160.75	1161.76	-1	M+H	1	CC(C(CO)NC(C1CCCN1C(C(C)(C)NC(C(CC(C)C)NC(C(C(C)CC)NC(C2CCCN2C(C(C)(C)NC(C(NC(C(C(C)CC)NC(C(CCC(N)=O)NC(C(C)(C)NC(C)=O)=O)=O)=O)C(C)C)=O)=O)=O)=O)=O)=O)=O)C
None	/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11166	11166	11166	XERUKUVYCHYPHQ	101.271	4.5e-27	1021.67	1022.68	-1	M+H	1	[H]OC(=O)C([H])([H])C([H])([H])[C@@]1([H])N([H])C(=O)C([H])([H])C([H])(OC(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])(N([H])C(=O)[C@@]([H])(N([H])C1=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(=O)O[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
None	/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7477	7477	7477	NYWLFVRMPODFRH	46.177	7.2e-27	878.378	879.387	-1	M+H	1	[H]OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(OC(=O)C([H])([H])C([H])(O[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
None	/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	8345	8345	8345	LLZGZWBVBWCMRA	72.048	7.5e-27	1226.67	1227.69	-1	M+H	1	NC(C[C@H]1C(N2[C@H](C(N[C@@H]([C@@H](O)C(N[C@@H](C(C)C)C(N/C(C(N[C@H](C(N[C@H](C(N[C@@H](CCC(N)=O)C(NCC(N[C@H](C(N1C)=O)[C@@H](OC)C)=O)=O)=O)[C@H](C)O)=O)[C@@H](O)C)=O)=C/C)=O)=O)[C@@H](C)CCCCCCCCCC(Cl)CC)=O)CCC2)=O)=O
None	/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5199	5199	5199	STDTUHSFISWYFO	140.804	1.8e-26	1266.81	1267.81	-1	M+H	1	CCCCCCCCCC(O)CC(NC(C(NC(C(NC1C(C)OC(C(C(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(CC(C)C)NC(C(CO)NC(C(CC(C)C)NC(C(C(CC)C)NC1=O)=O)=O)=O)=O)=O)=O)=O)=O)CCC(O)=O)=O)CC(C)C)=O
None	/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2287	2287	2287	GVLISDGZEVBRHD	106.548	2.0e-26	1034.53	1035.54	-1	M+H	1	CC(C)CCCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NC(CCC(O)=O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1
None	/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	651	651	10319	GNPWSZMDKPTDLE	48.001	3.5e-26	1160.75	1161.75	-1	M+H	1	CC(C(CO)NC(C1CCCN1C(C(C)(C)NC(C(CC(C)C)NC(C(C(C)CC)NC(C2CCCN2C(C(C)(C)NC(C(NC(C(C(C)CC)NC(C(CCC(N)=O)NC(C(C)(C)NC(C)=O)=O)=O)=O)C(C)C)=O)=O)=O)=O)=O)=O)=O)C
None	/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5111	5111	5111	KEDXZGDCZHBADT	143.379	4.1e-26	1091.73	1092.74	-1	M+H	1	CC[C@@H](C)[C@H]1C(=O)N([C@H](C(=O)NC(C(=O)NCCC(=O)NC(C(=O)N([C@@H](C(=O)N[C@H](C(=O)NCCC(=O)N[C@H](C(=O)N([C@H](C(=O)NCCC(=O)N1)[C@H](C)CC)C)CC(C)C)C(C)O)[C@H](C)CC)C)CC(C)C)C)C(C)C)C
None	/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	3784	3784	3784	IEWHPTFFMRBBPQ	127.863	4.3e-26	897.605	898.62	-1	M+H	1	CC[C@H](C)[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)C(NC(=O)[C@@H](CCCCN)NC(=O)[C@H](NC1=O)C(C)C)[C@@H](C)CC)[C@@H](C)CC
None	/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6315	6315	6315	UBRSBPZGHQBVSR	28.076	5.4e-26	1021.72	1022.72	-1	M+H	1	[H]OC(=O)[C@@]([H])(N(C(=O)[C@@]([H])(N(C(=O)[C@@]([H])(N(C(=O)[C@@]([H])(N(C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N(C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
