SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	P-Value	PeptideMass	SpectrumMass	Retention	Adduct	Charge
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	9376	9376	9376	TUZXHVDPBZLCEP	73.422	4.1e-22	1035.68	1036.69	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2546	2546	2546	ZBZVXBGUYOPNAE	73.124	6.4e-21	830.396	831.415	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	4777	4777	4777	IDVOWBCDONBHKQ	72.744	3.0e-17	1049.7	1050.71	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6237	6237	6237	IUUPKKJFQBHLPQ	72.093	1.2e-21	1020.68	1021.69	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	8345	8345	8345	LLZGZWBVBWCMRA	72.048	7.5e-27	1226.67	1227.69	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	3659	3659	3659	APOLYTJSSKGYDB	71.684	2.2e-23	1006.49	1007.5	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7093	7093	7093	VJRXCJRDLYPHFS	71.602	2.7e-29	1291.91	1292.92	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5460	5460	5460	NPXHCDVDSCUWFX	70.072	2.0e-18	859.484	860.487	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	10525	10525	10525	RXOMDRQVYULRRU	69.153	3.1e-17	609.327	610.335	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	3806	3806	3806	UJCHSNSQSIHRBN	68.942	8.6e-21	1058.57	1059.57	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	9307	9307	9307	QXKJVJDWLKHZJE	68.475	2.4e-17	1035.68	1036.69	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2483	2483	2483	BQKZAAFVKZMCPR	68.471	6.3e-24	1462.76	1463.78	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2693	2693	2693	PICZCWCKOLHDOJ	67.472	1.7e-20	752.422	753.429	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11338	11338	11338	VOKIDQKEGUPZBD	67.044	8.6e-21	1056.56	1057.57	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	3976	3976	3976	CUJBKWCXRLZJMY	66.766	1.4e-17	699.421	700.433	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6006	6006	6006	OJKZQAIICZVIPI	65.823	9.7e-21	1252.79	1253.8	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	10589	10589	10589	OWSWXCJWFTUXHT	65.767	1.8e-29	1205.84	1206.85	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	570	570	570	WQYQLZJEDBPTDY	65.206	1.0e-19	726.395	727.407	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7448	7448	7448	IKZAEPXVDFABJH	64.655	1.7e-22	1048.71	1049.72	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	8336	8336	8336	ANSCENNXWQFDJG	64.646	5.4e-18	827.458	828.465	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5280	5280	5280	GDQDVTDPOBTBOA	64.63	4.0e-17	904.531	905.538	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	783	783	783	JSLJRLSXMPKMLE	64.567	4.4e-20	742.401	743.409	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	8460	8460	8460	JYHXDMQYXCMDPF	64.305	1.3e-20	786.443	787.45	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11122	11122	11122	NCCHYDXMXHIKMK	64.216	9.5e-17	740.411	741.424	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6106	6106	6106	SBKWAHPUHRUGMG	64.059	5.1e-21	1124.71	1125.72	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2030	2030	2030	SFSVEGYBMXFUOI	63.201	1.5e-16	887.537	888.547	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	10319	10319	10319	GNPWSZMDKPTDLE	62.015	9.2e-28	1160.75	1161.76	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7752	7752	7752	ANLDPEXRVVIABH	61.978	5.7e-19	780.453	781.46	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5510	5510	9307	QXKJVJDWLKHZJE	60.883	8.4e-18	1035.68	1036.68	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7664	7664	7664	VBYYGSMHUKZIND	60.749	2.0e-22	1234.72	1235.74	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5321	5321	5321	JLZQBPSKPHZNKL	58.151	1.3e-19	698.473	699.48	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	4437	4437	4437	CLOAPNHOUOVLON	58.098	1.1e-29	1215.86	1216.86	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11404	11404	11404	TVXGPIYFIDVWST	57.993	9.8e-18	1049.7	1050.71	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	8236	8236	8236	YWUBVNCUPVUHIM	57.966	1.5e-17	760.416	761.418	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11644	11644	11644	QLBHHKHBJWIIDN	57.817	1.1e-20	1167.74	1168.75	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6842	6842	6842	OCMXOQFOMBDMCH	55.249	6.4e-21	942.441	943.448	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	615	615	615	XOQYSZXRJXOERD	54.636	1.8e-24	1037.68	1038.69	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7392	7392	7392	GSCGSSWLDQOMNY	54.554	2.9e-19	1031.54	1032.55	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	1370	1370	1370	QAJHIWCONAFMCM	54.471	4.6e-28	1233.83	1234.84	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5763	5763	5763	ISFFTEWJOFYRNG	54.315	1.4e-17	963.662	964.666	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11377	11377	11377	FOAIGCPESMNWQP	53.747	4.5e-28	1217.84	1218.84	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5266	5266	5266	HDSHTQMHVLVTSB	53.291	1.4e-17	905.497	906.508	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	503	503	503	JXVATGITZQMPIW	53.083	1.1e-17	1282.66	1283.67	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	357	357	357	UIQRJAVAEKADLA	53.03	3.4e-19	714.468	715.475	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5466	5466	6289	RJURFGZVJUQBHK	52.21	7.9e-17	1254.63	1255.64	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	9282	9282	9282	MYWRZVJMFJSCQN	51.975	3.6e-22	792.342	793.352	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5696	5696	5307	WSFGUSJVLMZWTL	51.259	1.6e-18	625.369	626.376	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	1818	1818	1818	MITIRDUVDFDKHI	50.591	5.0e-22	1027.57	1028.57	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5611	5611	5611	CODGHFHXEFKOMN	50.439	9.9e-20	680.334	681.34	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11836	11836	11836	AFSBZKIQRMKPNF	48.926	4.4e-19	1036.49	1037.49	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6321	6321	4777	IDVOWBCDONBHKQ	48.833	1.1e-19	1049.7	1050.71	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11351	11351	11351	FWNVJYNXEWXTEC	48.578	6.6e-28	1174.77	1175.77	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6225	6225	6321	HPBKRTWLUQRMNA	48.414	4.6e-22	1049.7	1050.71	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	651	651	10319	GNPWSZMDKPTDLE	48.001	3.5e-26	1160.75	1161.75	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6538	6538	2084	DDULCZLFAKVKJB	47.855	1.0e-16	1021.67	1022.67	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5307	5307	5307	WSFGUSJVLMZWTL	47.648	1.9e-16	625.369	626.375	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2704	2704	2704	WQAAJWSIZAAGHM	47.098	3.6e-19	754.427	755.432	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6705	6705	6705	ZOPOQQIYRGAAQO	46.949	1.3e-21	1006.67	1007.67	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7445	7445	7445	NJIOFEXYZOVVKA	46.717	1.5e-18	736.397	737.4	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	266	266	4739	SWNBFQKIMCBNRL	46.262	1.8e-20	667.441	668.445	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7477	7477	7477	NYWLFVRMPODFRH	46.177	7.2e-27	878.378	879.387	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	9598	9598	9598	ZHHKJHQJBVODGP	44.999	1.1e-17	793.463	794.471	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	9187	9187	9187	IICJGRPHDDKCDK	44.911	2.1e-25	1188.79	1189.78	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	1587	1587	1587	GWLLRAWISPSIHQ	44.534	1.8e-16	1063.71	1064.72	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5141	5141	5141	OBKFQZNNFBXVJH	44.425	2.8e-18	832.468	833.475	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7216	7216	7216	NZSWNNDHPOTJNH	43.017	3.1e-19	842.255	843.267	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6216	6216	6216	AXFSQNOERPOWQC	42.499	2.3e-18	1332.61	1333.61	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	9330	9330	9330	KKIVMGDDVLIFLL	41.807	3.1e-22	1070.58	1071.58	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5413	5413	5413	QVZZPLDJERFENQ	40.887	6.1e-17	908.609	909.614	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11056	11056	11056	XNGHQBADKGIWEW	40.779	2.1e-16	700.452	701.46	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2076	2076	627	UQCSETXJXJTMKO	40.415	1.8e-16	653.425	654.428	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	862	862	862	KSIHMACFIAFKIG	40.32	6.2e-18	651.396	652.4	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	5933	5933	5933	RCQTVEFBFUNTGM	39.133	3.6e-22	882.256	883.265	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7960	7960	7960	QXFNIDXRPPEGFB	38.043	1.1e-16	654.41	655.41	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	908	908	908	DFHDGRZCTHONRC	37.938	8.5e-18	976.582	977.59	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	4522	4522	4522	YSPNHJIQHQTTOK	35.921	2.7e-25	1133.78	1134.79	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	4284	4284	4284	BNVLXJXRCARHAN	35.313	2.2e-21	1012.62	1013.63	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2181	2181	2181	GXDQZGCYZTUMNE	33.08	1.1e-23	1119.76	1120.77	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	9786	9786	9786	WPASHCDGVMUZKC	32.985	1.0e-17	742.499	743.51	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7380	7380	7380	IXHIUUIJSWNPTJ	32.946	3.9e-17	607.394	608.402	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	1830	1830	1830	XGFYCYMDWHFTLH	32.546	2.8e-17	757.474	758.481	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7013	7013	7013	UYRWXELHDAUNNB	32.252	2.7e-20	1174.77	1175.77	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7231	7231	7231	ZXPCHASEFBWLAG	32.013	1.2e-16	1050.51	1051.51	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	11130	11130	11130	LFLLNSOGBQWVEW	31.595	6.9e-20	1041.55	1042.55	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	10203	10203	10203	YFGBQHOOROIVKG	30.642	1.7e-16	573.226	574.234	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6662	6662	6662	ZXPWAGZHBVVLJM	30.284	3.7e-17	879.489	880.489	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	1618	1618	1618	CLAPAZQQSRVIAI	30.216	3.4e-17	858.5	859.517	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7319	7319	7319	LQKSHSFQQRCAFW	28.453	2.1e-16	836.505	837.521	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	6315	6315	6315	UBRSBPZGHQBVSR	28.076	5.4e-26	1021.72	1022.72	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2477	2477	10319	GNPWSZMDKPTDLE	27.636	2.3e-19	1160.75	1161.76	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	7182	7182	7182	NCIZAPYSXYPFOU	26.683	2.3e-18	1028.53	1029.54	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	2551	2551	2264	NJGWOFRZMQRKHT	25.155	1.6e-16	1035.68	1036.69	-1	M+H	1
/home/nikitos/varquest/side_sources/gnps_positive_MH_unique/gnps_positive_MH_unique.mgf	8691	8691	8691	BHLZAVHBILJGRP	23.433	9.2e-19	1094.72	1095.73	-1	M+H	1
